candidate_id,rebalance_date,selected_tickers,selected_count
momentum_rank__p001,2016-04-29,AMD;SHOP;TSLA;NVDA;UPRO,5
momentum_rank__p001,2016-05-31,AMD;NVDA;SHOP;SOXL;AMZN,5
momentum_rank__p001,2016-06-30,AMD;NVDA;MU;AMZN;GLD,5
momentum_rank__p001,2016-07-29,AMD;SOXL;NVDA;MU;TQQQ,5
momentum_rank__p001,2016-08-31,AMD;SOXL;SHOP;NVDA;MU,5
momentum_rank__p001,2016-09-30,SOXL;NVDA;MU;SHOP;AMD,5
momentum_rank__p001,2016-10-31,NFLX;MU;SOXL;NVDA;SHOP,5
momentum_rank__p001,2016-11-30,NVDA;SOXL;AMD;NFLX;MU,5
momentum_rank__p001,2016-12-30,AMD;NVDA;NFLX;SOXL;MU,5
momentum_rank__p001,2017-01-31,NVDA;SOXL;AMD;MU;TSLA,5
momentum_rank__p001,2017-02-28,AMD;SHOP;TQQQ;TSLA;SOXL,5
momentum_rank__p001,2017-03-31,SHOP;TQQQ;SOXL;MU;TSLA,5
momentum_rank__p001,2017-04-28,SHOP;TQQQ;AMD;TSLA;AAPL,5
momentum_rank__p001,2017-05-31,SHOP;NVDA;TSLA;SOXL;MU,5
momentum_rank__p001,2017-06-30,NVDA;TSLA;SHOP;NOW;ARKK,5
momentum_rank__p001,2017-07-31,NVDA;PANW;SHOP;SOXL;NFLX,5
momentum_rank__p001,2017-08-31,AMD;XBI;NVDA;ARKK;SHOP,5
momentum_rank__p001,2017-09-29,SOXL;SHOP;MU;NVDA;NFLX,5
momentum_rank__p001,2017-10-31,SOXL;MU;NVDA;INTC;ARKK,5
momentum_rank__p001,2017-11-30,SOXL;MU;INTC;UPRO;AMZN,5
momentum_rank__p001,2017-12-29,INTC;AMZN;TQQQ;UPRO;SOXL,5
momentum_rank__p001,2018-01-31,TQQQ;NFLX;UPRO;AMZN;AMD,5
momentum_rank__p001,2018-02-28,NFLX;NOW;AMZN;SHOP;TQQQ,5
momentum_rank__p001,2018-03-29,NFLX;NOW;PANW;ADBE;MU,5
momentum_rank__p001,2018-04-30,PANW;NOW;ADBE;AMZN;NFLX,5
momentum_rank__p001,2018-05-31,NFLX;ADBE;MU;PANW;INTC,5
momentum_rank__p001,2018-06-29,AMD;NFLX;TSLA;TQQQ;META,5
momentum_rank__p001,2018-07-31,AMD;TQQQ;SOXL;UPRO;GOOGL,5
momentum_rank__p001,2018-08-31,AMD;AMZN;TQQQ;AAPL;UPRO,5
momentum_rank__p001,2018-09-28,AMD;TQQQ;AAPL;UPRO;NVDA,5
momentum_rank__p001,2018-10-31,AAPL;AVGO;ORCL;GLD;SHY,5
momentum_rank__p001,2018-11-30,TSLA;AVGO;SHOP;INTC;GLD,5
momentum_rank__p001,2018-12-31,TSLA;GLD;TLT;AVGO;SHY,5
momentum_rank__p001,2019-01-31,AMD;NOW;SHOP;AVGO;SOXL,5
momentum_rank__p001,2019-02-28,PANW;NOW;NFLX;SHOP;SOXL,5
momentum_rank__p001,2019-03-29,SOXL;SHOP;TQQQ;AMD;UPRO,5
momentum_rank__p001,2019-04-30,SOXL;TQQQ;SHOP;NOW;AMD,5
momentum_rank__p001,2019-05-31,SHOP;AMD;TLT;MSFT;META,5
momentum_rank__p001,2019-06-28,SHOP;AMD;META;MSFT;NOW,5
momentum_rank__p001,2019-07-31,SHOP;AMD;GLD;TLT;MU,5
momentum_rank__p001,2019-08-30,SHOP;SOXL;MU;TQQQ;TSLA,5
momentum_rank__p001,2019-09-30,AAPL;GOOGL;TLT;INTC;MU,5
momentum_rank__p001,2019-10-31,TSLA;SOXL;NVDA;AAPL;INTC,5
momentum_rank__p001,2019-11-29,TSLA;SOXL;NVDA;TQQQ;AAPL,5
momentum_rank__p001,2019-12-31,TSLA;SOXL;AMD;TQQQ;NVDA,5
momentum_rank__p001,2020-01-31,TSLA;SHOP;AMD;NOW;TQQQ,5
momentum_rank__p001,2020-02-28,TSLA;SHOP;NVDA;NFLX;NOW,5
momentum_rank__p001,2020-03-31,TSLA;TLT;NFLX;NVDA;AMZN,5
momentum_rank__p001,2020-04-30,SHOP;AMZN;TSLA;NFLX;NVDA,5
momentum_rank__p001,2020-05-29,SHOP;NVDA;AMZN;PANW;TSLA,5
momentum_rank__p001,2020-06-30,SHOP;TSLA;TQQQ;SOXL;QLD,5
momentum_rank__p001,2020-07-31,TSLA;SOXL;TQQQ;SHOP;AMD,5
momentum_rank__p001,2020-08-31,TSLA;TQQQ;AMD;SOXL;AAPL,5
momentum_rank__p001,2020-09-30,TSLA;AMD;NVDA;SOXL;CRM,5
momentum_rank__p001,2020-10-30,MSTR;TSLA;CRM;NVDA;NOW,5
momentum_rank__p001,2020-11-30,MSTR;SOXL;MU;XBI;SMH,5
momentum_rank__p001,2020-12-31,MSTR;SOXL;TSLA;MU;PANW,5
momentum_rank__p001,2021-01-29,MSTR;SOXL;TSLA;MU;PANW,5
momentum_rank__p001,2021-02-26,MSTR;SOXL;MU;SHOP;INTC,5
momentum_rank__p001,2021-03-31,MSTR;SOXL;INTC;MU;UPRO,5
momentum_rank__p001,2021-04-30,UPRO;GOOGL;SSO;ORCL;META,5
momentum_rank__p001,2021-05-28,UPRO;META;ORCL;NVDA;SSO,5
momentum_rank__p001,2021-06-30,NVDA;TQQQ;SHOP;UPRO;ADBE,5
momentum_rank__p001,2021-07-30,AMD;NVDA;SHOP;TQQQ;ADBE,5
momentum_rank__p001,2021-08-31,TQQQ;MSTR;NOW;AMD;ADBE,5
momentum_rank__p001,2021-09-30,PANW;NFLX;TSLA;NOW;CRM,5
momentum_rank__p001,2021-10-29,TSLA;NFLX;NVDA;PANW;CRM,5
momentum_rank__p001,2021-11-30,TSLA;NVDA;AMD;SOXL;PANW,5
momentum_rank__p001,2021-12-31,SOXL;NVDA;AMD;AVGO;TSLA,5
momentum_rank__p001,2022-01-31,MU;AAPL;AVGO;PANW;SOXX,5
momentum_rank__p001,2022-02-28,PANW;AVGO;GLD;MU;AAPL,5
momentum_rank__p001,2022-03-31,PANW;GLD;TSLA;CIBR;AAPL,5
momentum_rank__p001,2022-04-29,PANW;GLD;MSTR;CIBR;TSLA,5
momentum_rank__p001,2022-05-31,AVGO;DIA;SHY;SPY;INTC,5
momentum_rank__p001,2022-06-30,SHY;GLD;IBB;DIA;TLT,5
momentum_rank__p001,2022-07-29,NFLX;XBI;AMD;IBB;ORCL,5
momentum_rank__p001,2022-08-31,XBI;NFLX;TSLA;PANW;AAPL,5
momentum_rank__p001,2022-09-30,NFLX;MSTR;TSLA;XBI;AMZN,5
momentum_rank__p001,2022-10-31,NFLX;IBB;ORCL;DIA;XBI,5
momentum_rank__p001,2022-11-30,NFLX;SHOP;IBB;ORCL;NVDA,5
momentum_rank__p001,2022-12-30,ORCL;SHOP;AVGO;NFLX;ADBE,5
momentum_rank__p001,2023-01-31,SOXL;META;SHOP;NVDA;AVGO,5
momentum_rank__p001,2023-02-28,META;MSTR;NVDA;SOXL;AVGO,5
momentum_rank__p001,2023-03-31,MSTR;NVDA;SOXL;META;TSLA,5
momentum_rank__p001,2023-04-28,META;NVDA;MSTR;MSFT;TQQQ,5
momentum_rank__p001,2023-05-31,NVDA;TQQQ;META;AMD;SOXL,5
momentum_rank__p001,2023-06-30,NVDA;TQQQ;SHOP;SOXL;META,5
momentum_rank__p001,2023-07-31,SOXL;NVDA;TSLA;TQQQ;ADBE,5
momentum_rank__p001,2023-08-31,ADBE;TSLA;NVDA;MSTR;TQQQ,5
momentum_rank__p001,2023-09-29,GOOGL;MU;INTC;META;ADBE,5
momentum_rank__p001,2023-10-31,INTC;MSTR;AMZN;MSFT;NOW,5
momentum_rank__p001,2023-11-30,MSTR;INTC;PANW;NOW;MSFT,5
momentum_rank__p001,2023-12-29,MSTR;SOXL;AMD;TQQQ;SHOP,5
momentum_rank__p001,2024-01-31,SOXL;AMD;SHOP;TQQQ;UPRO,5
momentum_rank__p001,2024-02-29,MSTR;SOXL;NVDA;AMD;META,5
momentum_rank__p001,2024-03-28,MSTR;NVDA;SOXL;MU;META,5
momentum_rank__p001,2024-04-30,MSTR;NVDA;MU;SOXL;SMH,5
momentum_rank__p001,2024-05-31,MSTR;NVDA;MU;GOOGL;GLD,5
momentum_rank__p001,2024-06-28,NVDA;AAPL;AVGO;GOOGL;TQQQ,5
momentum_rank__p001,2024-07-31,MSTR;NVDA;AAPL;TQQQ;UPRO,5
momentum_rank__p001,2024-08-30,NOW;ADBE;SHOP;PANW;AVGO,5
momentum_rank__p001,2024-09-30,TSLA;SHOP;MSTR;ORCL;META,5
momentum_rank__p001,2024-10-31,MSTR;SHOP;ORCL;NVDA;NFLX,5
momentum_rank__p001,2024-11-29,MSTR;TSLA;SHOP;ORCL;CRM,5
momentum_rank__p001,2024-12-31,MSTR;TSLA;AVGO;SHOP;NFLX,5
momentum_rank__p001,2025-01-31,TSLA;SHOP;ARKK;MSTR;NFLX,5
momentum_rank__p001,2025-02-28,AVGO;META;NFLX;GLD;AMZN,5
momentum_rank__p001,2025-03-31,GLD;INTC;TLT;SHY;NFLX,5
momentum_rank__p001,2025-04-30,GLD;NFLX;MSTR;TLT;SHY,5
momentum_rank__p001,2025-05-30,MSTR;NFLX;AVGO;TSLA;MSFT,5
momentum_rank__p001,2025-06-30,AVGO;SOXL;ORCL;TQQQ;ARKK,5
momentum_rank__p001,2025-07-31,SOXL;AMD;ORCL;NVDA;TQQQ,5
momentum_rank__p001,2025-08-29,SOXL;AMD;ORCL;ARKK;SHOP,5
momentum_rank__p001,2025-09-30,TSLA;INTC;SOXL;MU;GOOGL,5
momentum_rank__p001,2025-10-31,MU;INTC;SOXL;TSLA;AMD,5
momentum_rank__p001,2025-11-28,MU;INTC;SOXL;GOOGL;XBI,5
momentum_rank__p001,2025-12-31,MU;AMD;GOOGL;XBI;SOXL,5
momentum_rank__p001,2026-01-30,MU;SOXL;GOOGL;GLD;XBI,5
momentum_rank__p001,2026-02-27,MU;SOXL;INTC;GLD;SOXX,5
momentum_rank__p001,2026-03-31,INTC;MU;SOXL;GLD;SOXX,5
momentum_rank__p001,2026-04-30,INTC;SOXL;AMD;SOXX;AVGO,5
momentum_rank__p001,2026-05-01,INTC;SOXL;AMD;SOXX;MU,5
momentum_rank__p002,2016-04-29,AMD;SHOP;TSLA;NVDA;UPRO;GLD;NOW;SSO;SOXL;ARKK,10
momentum_rank__p002,2016-05-31,AMD;NVDA;SHOP;SOXL;AMZN;NOW;TSLA;CRM;UPRO;XBI,10
momentum_rank__p002,2016-06-30,AMD;NVDA;MU;AMZN;GLD;SHOP;NOW;TLT;CRM;IGV,10
momentum_rank__p002,2016-07-29,AMD;SOXL;NVDA;MU;TQQQ;SMH;SOXX;QLD;INTC;UPRO,10
momentum_rank__p002,2016-08-31,AMD;SOXL;SHOP;NVDA;MU;SMH;TQQQ;SOXX;AVGO;INTC,10
momentum_rank__p002,2016-09-30,SOXL;NVDA;MU;SHOP;AMD;TQQQ;PANW;SMH;SOXX;QLD,10
momentum_rank__p002,2016-10-31,NFLX;MU;SOXL;NVDA;SHOP;NOW;PANW;MSTR;AMD;ADBE,10
momentum_rank__p002,2016-11-30,NVDA;SOXL;AMD;NFLX;MU;MSTR;NOW;SOXX;SMH;IWM,10
momentum_rank__p002,2016-12-30,AMD;NVDA;NFLX;SOXL;MU;MSTR;UPRO;IWM;SOXX;DIA,10
momentum_rank__p002,2017-01-31,NVDA;SOXL;AMD;MU;TSLA;SHOP;UPRO;TQQQ;AVGO;SOXX,10
momentum_rank__p002,2017-02-28,AMD;SHOP;TQQQ;TSLA;SOXL;AAPL;UPRO;NFLX;AVGO;QLD,10
momentum_rank__p002,2017-03-31,SHOP;TQQQ;SOXL;MU;TSLA;AMD;ADBE;AAPL;AVGO;QLD,10
momentum_rank__p002,2017-04-28,SHOP;TQQQ;AMD;TSLA;AAPL;ADBE;QLD;MU;META;ARKK,10
momentum_rank__p002,2017-05-31,SHOP;NVDA;TSLA;SOXL;MU;TQQQ;ARKK;ADBE;NOW;AMZN,10
momentum_rank__p002,2017-06-30,NVDA;TSLA;SHOP;NOW;ARKK;PANW;ORCL;XBI;TQQQ;GOOGL,10
momentum_rank__p002,2017-07-31,NVDA;PANW;SHOP;SOXL;NFLX;NOW;ARKK;TQQQ;AVGO;ORCL,10
momentum_rank__p002,2017-08-31,AMD;XBI;NVDA;ARKK;SHOP;IBB;META;ORCL;NOW;ADBE,10
momentum_rank__p002,2017-09-29,SOXL;SHOP;MU;NVDA;NFLX;ARKK;TQQQ;SMH;INTC;SOXX,10
momentum_rank__p002,2017-10-31,SOXL;MU;NVDA;INTC;ARKK;ADBE;SMH;SOXX;NOW;TQQQ,10
momentum_rank__p002,2017-11-30,SOXL;MU;INTC;UPRO;AMZN;TQQQ;NVDA;ADBE;SSO;SOXX,10
momentum_rank__p002,2017-12-29,INTC;AMZN;TQQQ;UPRO;SOXL;ADBE;MSFT;QLD;SSO;DIA,10
momentum_rank__p002,2018-01-31,TQQQ;NFLX;UPRO;AMZN;AMD;QLD;SSO;NVDA;SOXL;ARKK,10
momentum_rank__p002,2018-02-28,NFLX;NOW;AMZN;SHOP;TQQQ;PANW;QLD;NVDA;ADBE;MSFT,10
momentum_rank__p002,2018-03-29,NFLX;NOW;PANW;ADBE;MU;AMZN;SHOP;NVDA;INTC;CRM,10
momentum_rank__p002,2018-04-30,PANW;NOW;ADBE;AMZN;NFLX;CRM;CIBR;MU;SHOP;INTC,10
momentum_rank__p002,2018-05-31,NFLX;ADBE;MU;PANW;INTC;AMD;NOW;AMZN;META;IWM,10
momentum_rank__p002,2018-06-29,AMD;NFLX;TSLA;TQQQ;META;AMZN;QLD;SHOP;ARKK;CRM,10
momentum_rank__p002,2018-07-31,AMD;TQQQ;SOXL;UPRO;GOOGL;QLD;AAPL;MU;ARKK;SSO,10
momentum_rank__p002,2018-08-31,AMD;AMZN;TQQQ;AAPL;UPRO;CRM;QLD;MSTR;IBB;ARKK,10
momentum_rank__p002,2018-09-28,AMD;TQQQ;AAPL;UPRO;NVDA;AMZN;ORCL;CRM;QLD;MSFT,10
momentum_rank__p002,2018-10-31,AAPL;AVGO;ORCL;GLD;SHY;DIA;MSFT;NOW;ADBE;CRM,10
momentum_rank__p002,2018-11-30,TSLA;AVGO;SHOP;INTC;GLD;ORCL;SHY;MSFT;DIA;TLT,10
momentum_rank__p002,2018-12-31,TSLA;GLD;TLT;AVGO;SHY;INTC;NOW;MSTR;MSFT;DIA,10
momentum_rank__p002,2019-01-31,AMD;NOW;SHOP;AVGO;SOXL;PANW;NFLX;META;CRM;SOXX,10
momentum_rank__p002,2019-02-28,PANW;NOW;NFLX;SHOP;SOXL;CRM;META;AVGO;IGV;AMD,10
momentum_rank__p002,2019-03-29,SOXL;SHOP;TQQQ;AMD;UPRO;NFLX;NOW;NVDA;QLD;PANW,10
momentum_rank__p002,2019-04-30,SOXL;TQQQ;SHOP;NOW;AMD;NVDA;UPRO;QLD;META;AAPL,10
momentum_rank__p002,2019-05-31,SHOP;AMD;TLT;MSFT;META;NOW;AMZN;ADBE;SHY;GLD,10
momentum_rank__p002,2019-06-28,SHOP;AMD;META;MSFT;NOW;ADBE;UPRO;GLD;TQQQ;SOXL,10
momentum_rank__p002,2019-07-31,SHOP;AMD;GLD;TLT;MU;MSFT;ADBE;UPRO;GOOGL;ARKK,10
momentum_rank__p002,2019-08-30,SHOP;SOXL;MU;TQQQ;TSLA;NVDA;AAPL;QLD;UPRO;SMH,10
momentum_rank__p002,2019-09-30,AAPL;GOOGL;TLT;INTC;MU;SOXL;GLD;TSLA;MSTR;SMH,10
momentum_rank__p002,2019-10-31,TSLA;SOXL;NVDA;AAPL;INTC;AMD;MSTR;SMH;TQQQ;SOXX,10
momentum_rank__p002,2019-11-29,TSLA;SOXL;NVDA;TQQQ;AAPL;AMD;UPRO;INTC;QLD;XBI,10
momentum_rank__p002,2019-12-31,TSLA;SOXL;AMD;TQQQ;NVDA;UPRO;AAPL;QLD;XBI;MU,10
momentum_rank__p002,2020-01-31,TSLA;SHOP;AMD;NOW;TQQQ;AAPL;ADBE;QLD;SOXL;NFLX,10
momentum_rank__p002,2020-02-28,TSLA;SHOP;NVDA;NFLX;NOW;AMD;MU;ADBE;TLT;GLD,10
momentum_rank__p002,2020-03-31,TSLA;TLT;NFLX;NVDA;AMZN;SHOP;GLD;SHY;NOW;MSFT,10
momentum_rank__p002,2020-04-30,SHOP;AMZN;TSLA;NFLX;NVDA;TLT;AMD;IBB;GLD;ARKK,10
momentum_rank__p002,2020-05-29,SHOP;NVDA;AMZN;PANW;TSLA;SKYY;NOW;ARKK;IBB;AMD,10
momentum_rank__p002,2020-06-30,SHOP;TSLA;TQQQ;SOXL;QLD;ARKK;UPRO;XBI;NVDA;AAPL,10
momentum_rank__p002,2020-07-31,TSLA;SOXL;TQQQ;SHOP;AMD;QLD;ARKK;NVDA;UPRO;AAPL,10
momentum_rank__p002,2020-08-31,TSLA;TQQQ;AMD;SOXL;AAPL;CRM;QLD;NVDA;ARKK;UPRO,10
momentum_rank__p002,2020-09-30,TSLA;AMD;NVDA;SOXL;CRM;TQQQ;MSTR;AAPL;ARKK;UPRO,10
momentum_rank__p002,2020-10-30,MSTR;TSLA;CRM;NVDA;NOW;AVGO;GOOGL;ARKK;META;SOXL,10
momentum_rank__p002,2020-11-30,MSTR;SOXL;MU;XBI;SMH;SOXX;ARKK;IWM;AVGO;PANW,10
momentum_rank__p002,2020-12-31,MSTR;SOXL;TSLA;MU;PANW;UPRO;ARKK;TQQQ;IWM;CIBR,10
momentum_rank__p002,2021-01-29,MSTR;SOXL;TSLA;MU;PANW;TQQQ;ARKK;UPRO;IWM;XBI,10
momentum_rank__p002,2021-02-26,MSTR;SOXL;MU;SHOP;INTC;ARKK;TSLA;AVGO;PANW;SMH,10
momentum_rank__p002,2021-03-31,MSTR;SOXL;INTC;MU;UPRO;GOOGL;SOXX;SMH;IWM;SSO,10
momentum_rank__p002,2021-04-30,UPRO;GOOGL;SSO;ORCL;META;TQQQ;NVDA;QLD;DIA;SPY,10
momentum_rank__p002,2021-05-28,UPRO;META;ORCL;NVDA;SSO;GOOGL;GLD;DIA;CRM;SPY,10
momentum_rank__p002,2021-06-30,NVDA;TQQQ;SHOP;UPRO;ADBE;QLD;AMD;GOOGL;META;SSO,10
momentum_rank__p002,2021-07-30,AMD;NVDA;SHOP;TQQQ;ADBE;SOXL;NOW;QLD;UPRO;ORCL,10
momentum_rank__p002,2021-08-31,TQQQ;MSTR;NOW;AMD;ADBE;NVDA;QLD;PANW;SHOP;UPRO,10
momentum_rank__p002,2021-09-30,PANW;NFLX;TSLA;NOW;CRM;AMD;ORCL;GOOGL;CIBR;AVGO,10
momentum_rank__p002,2021-10-29,TSLA;NFLX;NVDA;PANW;CRM;NOW;TQQQ;MSFT;UPRO;MSTR,10
momentum_rank__p002,2021-11-30,TSLA;NVDA;AMD;SOXL;PANW;MU;SOXX;NFLX;SMH;AVGO,10
momentum_rank__p002,2021-12-31,SOXL;NVDA;AMD;AVGO;TSLA;MU;TQQQ;UPRO;AAPL;SOXX,10
momentum_rank__p002,2022-01-31,MU;AAPL;AVGO;PANW;SOXX;SMH;GLD;XLK;INTC;SHY,10
momentum_rank__p002,2022-02-28,PANW;AVGO;GLD;MU;AAPL;SHY;INTC;DIA;CIBR;SPY,10
momentum_rank__p002,2022-03-31,PANW;GLD;TSLA;CIBR;AAPL;SHY;AMZN;INTC;DIA;AVGO,10
momentum_rank__p002,2022-04-29,PANW;GLD;MSTR;CIBR;TSLA;AVGO;SHY;DIA;IWM;SPY,10
momentum_rank__p002,2022-05-31,AVGO;DIA;SHY;SPY;INTC;META;ORCL;GLD;SMH;SOXX,10
momentum_rank__p002,2022-06-30,SHY;GLD;IBB;DIA;TLT;ORCL;NOW;SPY;MSFT;XBI,10
momentum_rank__p002,2022-07-29,NFLX;XBI;AMD;IBB;ORCL;TSLA;SHY;ADBE;AAPL;CRM,10
momentum_rank__p002,2022-08-31,XBI;NFLX;TSLA;PANW;AAPL;IBB;AMZN;ORCL;CIBR;IWM,10
momentum_rank__p002,2022-09-30,NFLX;MSTR;TSLA;XBI;AMZN;AAPL;SHY;IBB;IWM;PANW,10
